,SH-MLD-OMIP1,NH-MLD-OMIP1
FSU-HYCOM,4136.679187011719,2269.77077094184
MIROC-COCO4.9,3679.967893812392,1677.9824961344402
CAS-LICOM3,522.9961392646602,1802.0029770658664
AWI-FESOM,1539.762084452311,2001.6761472066246
CESM-POP,294.6992938571506,1654.1631368001301
NorESM-BLOM,2500.2917691107546,2150.939166966676
MRI.COM,4764.813606770834,2270.049565633138
EC-Earth3-NEMO,1917.984492323134,1216.9024486117894
Kiel-NEMO,357.9184704250759,1288.2970633612738
GFDL-MOM,1749.3793336656356,2641.7393198649092
CMCC-NEMO,1183.3511003282335,1011.6988079071044
