,OMIP2_rmse,OMIP2_mean
MMM,9.554928377152779,-3.2427146165776
FSU-HYCOM,12.278253167213762,4.10918687886548
MIROC-COCO4.9,9.992029717012656,2.329036002127177
CAS-LICOM3,18.624291506288934,-8.464165200131234
AWI-FESOM,14.47888165295094,-5.655972368819487
CESM-POP,10.17243850833068,2.1884235094149744
NorESM-BLOM,14.972228151181733,1.8546469929817087
MRI.COM,11.466577086813803,-5.08461094079526
EC-Earth3-NEMO,9.92897132976724,-1.9227509376847216
Kiel-NEMO,14.119947596260166,-10.765891833831777
GFDL-MOM,10.017725572070198,-3.8550689316019047
CMCC-NEMO,12.938600204802365,-9.131540227367159
