,Correlation,Standard deviation
FSU-HYCOM,0.9461527979268396,0.7451115307230556
MIROC-COCO4.9,0.9185762688162358,0.8005044300497636
CAS-LICOM3,0.9378720685119428,0.8192548054660997
AWI-FESOM,0.9246755401783328,0.6670478137406126
CESM-POP,0.9207425914023506,0.9014143391761614
NorESM-BLOM,0.9474790031905796,0.8303115480623542
MRI.COM,0.9150252721008812,0.7309954860563542
EC-Earth3-NEMO,0.9140457158401666,0.8496690143100316
Kiel-NEMO,0.8795664043071025,0.5306813506454241
GFDL-MOM,0.9172698129779442,0.6534065527986026
CMCC-NEMO,0.9266747015031456,0.9604487636495914
Reference,1.0,0.8364621263923961
