institution,OMIP2-NH-MAR
FSU-HYCOM-OMIP2,12.821289780292265
MIROC-COCO4.9-OMIP2,13.494047864278157
CAS-LICOM3-OMIP2,16.835732205708823
AWI-FESOM-OMIP2,15.7052354900268
CESM-POP-OMIP2,14.881025314331055
NorESM-BLOM-OMIP2,14.865421295166016
MRI.COM-OMIP2,15.505250263214112
EC-Earth3-NEMO-OMIP2,17.570288848876952
Kiel-NEMO-OMIP2,14.667066383361817
GFDL-MOM-OMIP2,14.202971076965332
CMCC-NEMO-OMIP2,15.46143159866333
Z-MMM-OMIP2,15.09179637462588
Z-STD-OMIP2,1.2464013392538524
OBS-OMIP2,15.457666666666672
