institution,OMIP2-SH-MAR
FSU-HYCOM-OMIP2,1.5280263266304
MIROC-COCO4.9-OMIP2,1.943724222977956
CAS-LICOM3-OMIP2,3.2247063636779787
AWI-FESOM-OMIP2,4.106287093473646
CESM-POP-OMIP2,2.1937263290087383
NorESM-BLOM-OMIP2,3.255642358462016
MRI.COM-OMIP2,2.0409241199493406
EC-Earth3-NEMO-OMIP2,4.317774915695191
Kiel-NEMO-OMIP2,4.142327491442362
GFDL-MOM-OMIP2,3.3068619847297667
CMCC-NEMO-OMIP2,2.7374093770980834
Z-MMM-OMIP2,2.9815827802859527
Z-STD-OMIP2,0.8847257433896291
OBS-OMIP2,4.011333333333333
