institution,OMIP2-SH-SEP
FSU-HYCOM-OMIP2,14.899080803123203
MIROC-COCO4.9-OMIP2,17.97812016805013
CAS-LICOM3-OMIP2,23.00620263417562
AWI-FESOM-OMIP2,18.335713559551742
CESM-POP-OMIP2,16.048496818542482
NorESM-BLOM-OMIP2,18.064209047953288
MRI.COM-OMIP2,16.948839251200358
EC-Earth3-NEMO-OMIP2,20.628800519307454
Kiel-NEMO-OMIP2,17.924572881062826
GFDL-MOM-OMIP2,16.484655729929607
CMCC-NEMO-OMIP2,17.4387233098348
Z-MMM-OMIP2,17.97794679297559
Z-STD-OMIP2,2.025475351758889
OBS-OMIP2,18.487333333333332
